	miRNA	UTR	Sites	Duplex (pmol)	Renilla plasmid (ng)	Firefly plasmid	TRL (ng)	pUC (ug)	Assay Rep	Trans Rep	Renilla	Firefly
1	miR-1	C20orf139	miR-1	50	100	20	100	1	1	1	378151	220113
2	miR-1	C20orf139	miR-1	50	100	20	100	1	1	2	477659	294311
3	miR-1	C20orf139	miR-1	50	100	20	100	1	1	3	528233	308931
4	miR-1	C20orf139	miR-124	50	100	20	100	1	1	1	643889	269077
5	miR-1	C20orf139	miR-124	50	100	20	100	1	1	2	637693	257359
6	miR-1	C20orf139	miR-124	50	100	20	100	1	1	3	356029	151104
7	miR-1	C20orf139	miR-1	50	100	20	0	1	1	1	544797	319698
8	miR-1	C20orf139	miR-1	50	100	20	0	1	1	2	613292	298005
9	miR-1	C20orf139	miR-1	50	100	20	0	1	1	3	674416	314540
10	miR-1	C20orf139	miR-124	50	100	20	0	1	1	1	920299	331160
11	miR-1	C20orf139	miR-124	50	100	20	0	1	1	2	880618	356265
12	miR-1	C20orf139	miR-124	50	100	20	0	1	1	3	745597	312494
13	miR-1	C20orf139	miR-1	15	100	20	0	1	1	1	424366	220074
14	miR-1	C20orf139	miR-1	15	100	20	0	1	1	2	607498	323970
15	miR-1	C20orf139	miR-1	15	100	20	0	1	1	3	645188	329916
16	miR-1	C20orf139	miR-124	15	100	20	0	1	1	1	753198	307583
17	miR-1	C20orf139	miR-124	15	100	20	0	1	1	2	854412	327233
18	miR-1	C20orf139	miR-124	15	100	20	0	1	1	3	727888	313805
19	miR-1	C20orf139	miR-1	15	100	20	100	1	1	1	137012	115880
20	miR-1	C20orf139	miR-1	15	100	20	100	1	1	2	240581	192027
21	miR-1	C20orf139	miR-1	15	100	20	100	1	1	3	331778	224226
22	miR-1	C20orf139	miR-124	15	100	20	100	1	1	1	481209	214819
23	miR-1	C20orf139	miR-124	15	100	20	100	1	1	2	575622	219484
24	miR-1	C20orf139	miR-124	15	100	20	100	1	1	2	196900	110545
