"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX7128957","GSM4156782: mpra_miR-7_rep2; Homo sapiens; miRNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP235216","The biochemical basis of microRNA targeting efficacy [3]","SRS5638301","","1402.63","1","24458566","2445856600","","miRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX7128956","GSM4156781: mpra_miR-7_rep1; Homo sapiens; miRNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP235216","The biochemical basis of microRNA targeting efficacy [3]","SRS5638300","","1423.34","1","24606728","2460672800","","miRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX7128955","GSM4156780: mpra_lsy-6_rep2; Homo sapiens; miRNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP235216","The biochemical basis of microRNA targeting efficacy [3]","SRS5638299","","1342.84","1","23362873","2336287300","","miRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX7128954","GSM4156779: mpra_lsy-6_rep1; Homo sapiens; miRNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP235216","The biochemical basis of microRNA targeting efficacy [3]","SRS5638298","","1442.47","1","24963012","2496301200","","miRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX7128953","GSM4156778: mpra_miR-124_rep2; Homo sapiens; miRNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP235216","The biochemical basis of microRNA targeting efficacy [3]","SRS5638297","","1100.5","1","19138680","1913868000","","miRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX7128952","GSM4156777: mpra_miR-124_rep1; Homo sapiens; miRNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP235216","The biochemical basis of microRNA targeting efficacy [3]","SRS5638296","","1434.03","1","24801881","2480188100","","miRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX7128951","GSM4156776: mpra_miR-155_rep2; Homo sapiens; miRNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP235216","The biochemical basis of microRNA targeting efficacy [3]","SRS5638295","","1109.61","1","19304606","1930460600","","miRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX7128950","GSM4156775: mpra_miR-155_rep1; Homo sapiens; miRNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP235216","The biochemical basis of microRNA targeting efficacy [3]","SRS5638294","","1365.85","1","23173007","2317300700","","miRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX7128949","GSM4156774: mpra_let-7a_rep2; Homo sapiens; miRNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP235216","The biochemical basis of microRNA targeting efficacy [3]","SRS5638293","","860.8","1","14968551","1496855100","","miRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX7128948","GSM4156773: mpra_let-7a_rep1; Homo sapiens; miRNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP235216","The biochemical basis of microRNA targeting efficacy [3]","SRS5638292","","1188.77","1","20541628","2054162800","","miRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX7128947","GSM4156772: mpra_miR-1_rep2; Homo sapiens; miRNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP235216","The biochemical basis of microRNA targeting efficacy [3]","SRS5638291","","1302.72","1","22667817","2266781700","","miRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX7128946","GSM4156771: mpra_miR-1_rep1; Homo sapiens; miRNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP235216","The biochemical basis of microRNA targeting efficacy [3]","SRS5638290","","1514.26","1","26193503","2619350300","","miRNA-Seq","TRANSCRIPTOMIC","size fractionation"
