"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX7129015","GSM4156840: HEK293FT_miR-375_transfection_rep2_batch3; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP235217","The biochemical basis of microRNA targeting efficacy [5]","SRS5638359","","612.64","1","29564595","1478229750","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7129014","GSM4156839: HEK293FT_miR-200b_transfection_rep2_batch3; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP235217","The biochemical basis of microRNA targeting efficacy [5]","SRS5638358","","704.56","1","34066411","1703320550","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7129013","GSM4156838: HEK293FT_miR-190a_transfection_rep2_batch3; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP235217","The biochemical basis of microRNA targeting efficacy [5]","SRS5638357","","654.71","1","31748511","1587425550","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7129012","GSM4156837: HEK293FT_miR-184_transfection_rep2_batch3; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP235217","The biochemical basis of microRNA targeting efficacy [5]","SRS5638356","","736.75","1","35675884","1783794200","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7129011","GSM4156836: HEK293FT_miR-145_transfection_rep2_batch3; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP235217","The biochemical basis of microRNA targeting efficacy [5]","SRS5638355","","624.04","1","30097731","1504886550","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7129010","GSM4156835: HEK293FT_miR-138_transfection_rep2_batch3; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP235217","The biochemical basis of microRNA targeting efficacy [5]","SRS5638354","","693.99","1","33683535","1684176750","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7129009","GSM4156834: HEK293FT_miR-133_transfection_rep2_batch3; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP235217","The biochemical basis of microRNA targeting efficacy [5]","SRS5638353","","794.43","1","38397179","1919858950","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7129008","GSM4156833: HEK293FT_miR-122_transfection_rep2_batch3; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP235217","The biochemical basis of microRNA targeting efficacy [5]","SRS5638352","","855.2","1","41424179","2071208950","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7129007","GSM4156832: HEK293FT_miR-451a_transfection_rep2_batch2; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP235217","The biochemical basis of microRNA targeting efficacy [5]","SRS5638351","","781.53","1","37726630","1886331500","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7129006","GSM4156831: HEK293FT_miR-375_transfection_rep1_batch2; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP235217","The biochemical basis of microRNA targeting efficacy [5]","SRS5638350","","713.9","1","34464483","1723224150","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7129005","GSM4156830: HEK293FT_miR-219a_transfection_rep2_batch2; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP235217","The biochemical basis of microRNA targeting efficacy [5]","SRS5638349","","712","1","34459942","1722997100","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7129004","GSM4156829: HEK293FT_miR-217_transfection_rep2_batch2; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP235217","The biochemical basis of microRNA targeting efficacy [5]","SRS5638348","","654.33","1","31638068","1581903400","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7129003","GSM4156828: HEK293FT_miR-216a_transfection_rep2_batch2; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP235217","The biochemical basis of microRNA targeting efficacy [5]","SRS5638347","","769.62","1","37433082","1871654100","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7129002","GSM4156827: HEK293FT_miR-200b_transfection_rep1_batch2; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP235217","The biochemical basis of microRNA targeting efficacy [5]","SRS5638346","","709.74","1","34494622","1724731100","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7129001","GSM4156826: HEK293FT_miR-190a_transfection_rep1_batch2; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP235217","The biochemical basis of microRNA targeting efficacy [5]","SRS5638345","","554.28","1","26612564","1330628200","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
